"","#features","#attributes","#binary constraints","#edges in BIG","#edges in Mutex graph","#mandatory relations","#mutex groups","#or groups","#xor groups","#implies","#excludes","#complex constraints","#cross tree constraints","#variables","#configurations","#distinct configurations","max domain size","real max domain size","enable or groups","Synthesis","Domain extraction","Feature and attribute extraction","Binary implications","Sicstus","Implication and Mutex graph","Hierarchy","Place attributes","Mandatory features","Feature groups","Mutex","Or","Xor","Group processing","Cross tree constraints","Binary implies","Binary excludes","Complex constraints","AFM construction","#output configurations","product generation stopped"
"4128",32,29,10299,31,0,0,0,0,0,0,0,2,2,60,1000,1000,10,10,"true",1805684,70,6,4957,4050,22,30,21,1,1800044,19,1800019,1,4,530,3,2,524,1,NA,NA
"4129",33,17,762,194,57,2,1,0,0,125,56,0,181,50,5,5,10,2,"false",1029,8,24,810,556,28,37,9,2,93,83,0,4,5,16,5,6,5,1,NA,NA
"4130",33,18,4474,32,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4055,52,6,3585,2844,19,30,14,1,24,17,1,0,5,322,4,1,317,1,1000000,"true"
"4131",33,18,4474,32,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4195,51,6,3740,2993,18,31,15,0,25,18,1,0,4,306,3,2,301,1,1000000,"true"
"4132",33,18,4474,32,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4244,52,5,3783,3044,19,31,14,1,25,18,1,0,4,312,4,1,307,1,1000000,"true"
"4133",33,18,4474,32,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4337,54,6,3866,3123,19,31,13,1,24,18,0,1,4,321,3,2,315,1,1000000,"true"
"4134",33,18,4474,32,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4386,54,5,3918,3174,19,31,13,1,25,18,1,0,4,319,3,2,314,1,1000000,"true"
"4135",33,18,4474,32,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"true",1804218,54,6,3621,2879,19,30,14,1,1800043,18,1800019,1,4,427,4,1,422,2,1000000,"true"
"4136",33,18,4474,32,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"true",1804230,54,6,3733,2991,19,30,15,1,1800043,18,1800019,1,4,327,4,1,322,1,1000000,"true"
"4137",33,18,4474,32,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"true",1804277,53,6,3718,2978,18,30,13,1,1800043,18,1800019,0,4,390,3,2,385,2,1000000,"true"
"4138",33,18,4474,32,0,0,0,0,0,0,0,0,0,50,2000,2000,10,10,"false",7194,69,5,6736,5868,19,30,15,1,23,17,1,0,4,294,4,2,288,1,NA,NA
"4139",33,18,4474,32,0,0,0,0,0,0,0,0,0,50,2000,2000,10,10,"false",7295,69,5,6845,5977,19,30,14,1,25,18,1,0,4,285,3,2,280,1,NA,NA
"4140",33,18,4474,32,0,0,0,0,0,0,0,0,0,50,5000,5000,10,10,"false",17754,104,6,17211,16100,19,30,16,1,26,19,1,0,4,340,3,2,335,1,NA,NA
"4141",33,18,4474,32,0,0,0,0,0,0,0,0,0,50,5000,5000,10,10,"false",19398,111,5,18883,17763,19,31,15,1,26,20,1,0,4,305,4,2,299,1,NA,NA
"4142",33,18,4474,32,0,0,0,0,0,0,0,0,0,50,10000,10000,10,10,"false",42859,166,5,42282,40789,19,30,15,1,24,18,1,0,4,311,4,2,305,2,3000000,"true"
"4143",33,18,4474,32,0,0,0,0,0,0,0,0,0,50,10000,10000,10,10,"false",43065,173,6,42471,40975,19,30,16,1,24,18,0,1,4,324,4,1,319,1,1000000,"true"
"4144",33,18,4474,32,0,0,0,0,0,0,0,0,0,50,10000,10000,10,10,"false",47190,168,6,46606,45121,18,30,15,1,25,19,0,1,4,318,3,2,313,1,1000000,"true"
